time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.36277635233e-08,1.50737892946e-07,10.0038881749,0.000153832029376,6.28294124101,0.0,1.44191259632e-05,1.3674479278e-05,0.129599161531,0.00725350003951,-0.0137880309568,0.0,447.19633356187745,446.0720811319585,445.4537105890748,446.04631226902023
0.12000000000000001,8.26548623937e-06,6.37146387718e-06,10.0158290692,0.00084823114702,6.2830040275,0.0,0.000288439548198,0.000255790813601,0.268407458438,0.0190527207769,0.02076629162,0.0,448.4089594870006,451.2067893024647,447.85816092161247,448.81654744802034
0.18,2.46059221344e-05,4.38553383935e-05,10.0352445977,0.00181747529952,0.000760261920596,0.0,0.000140231989299,0.00110376899986,0.378745888235,0.00961479605146,0.00287854903422,0.0,441.5600170482808,440.08205389784916,440.0898889611981,439.30805370638757
0.23999999999999996,1.37827875461e-05,0.000156634610216,10.0643976795,0.0025755265493,0.00107606406876,0.0,-0.000530434062244,0.00273545476301,0.592936348412,0.0180762542399,0.00965101761242,0.0,470.8459490803599,471.36943371776255,472.41483033862306,473.0665932216746
0.3,-4.62659983966e-05,0.000386663524583,10.1059956189,0.00380864965231,0.00183816894871,0.0,-0.00155015393404,0.00506779655437,0.793543105656,0.0250929584541,0.0181948167586,0.0,468.5200779738939,469.18365462524895,467.1274926908636,467.67421899445446
0.36000000000000004,-0.000186586252468,0.000786684910984,10.1591818545,0.00598091402045,0.00279059415551,0.0,-0.00324464108609,0.00848361565275,0.97918938256,0.0522690230569,0.0107727962008,0.0,464.0651236837159,463.48214152089844,463.04446260202724,465.1776330168246
0.4200000000000001,-0.000443839730541,0.00143788819443,10.2218073326,0.0097710196924,0.00326664768508,0.0,-0.00539054767989,0.0135968436247,1.10820714614,0.0790031981744,0.00154775864411,0.0,447.1844443696312,446.4323414650639,446.093615692711,448.27377502473627
0.48000000000000015,-0.000833943710827,0.00246721936177,10.2907000013,0.0143590117259,0.00398867707268,0.0,-0.00765852904618,0.0211757673473,1.18812966941,0.0708412733652,0.0274254790167,0.0,430.958584238051,433.1400679109909,431.7794434428541,431.09519314458896
0.5400000000000001,-0.00137950000293,0.00403951184401,10.3642444162,0.0187229389789,0.00609596569564,0.0,-0.0107140601658,0.0316564616244,1.26326274766,0.0762665222584,0.0472391438353,0.0,428.604968126073,430.2859928683748,431.10825549802803,431.57063747428197
0.6000000000000002,-0.00218681614398,0.00642473001934,10.4472054425,0.0229248333381,0.0090215028995,0.0,-0.0165476587054,0.0483883277778,1.5018085681,0.0530954475533,0.0516364506326,0.0,480.2138165597303,480.5484933712308,481.4212481797132,479.6681983185529
0.6600000000000003,-0.00334286477816,0.00972685752634,10.5366170332,0.0259327983286,0.0125304186774,0.0,-0.0222666229535,0.0619432225755,1.47859860475,0.043431382726,0.0695066030404,0.0,397.3678654344885,399.00526974582226,398.8213804974714,397.93968061355355
0.7200000000000003,-0.00491990590207,0.0139217836448,10.6257729087,0.0287505437987,0.016920922417,0.0,-0.030684580621,0.0781299083258,1.4932321211,0.0532233397474,0.0796506621986,0.0,411.80746461335343,412.7082949624772,409.7886968582706,410.65963064780465
0.7800000000000004,-0.00712108797465,0.0192022950924,10.7179074415,0.0318513654612,0.0211974038822,0.0,-0.0431484423733,0.098197322976,1.57778665628,0.0484018697064,0.0438605514987,0.0,436.11222639051493,433.1164356038608,434.23626424993097,433.83343901628785
0.8400000000000004,-0.0100967234062,0.0256710834515,10.8127233817,0.034889354786,0.0241700298831,0.0,-0.05628746997,0.117689741883,1.58272219925,0.0547575644279,0.0589973240543,0.0,406.5461511295958,407.9017949369864,409.14128506766014,409.7085723149769
0.9000000000000005,-0.0140118378811,0.0335010057806,10.9116777128,0.0379582136714,0.0276549778531,0.0,-0.0745872424093,0.143640834451,1.71554124382,0.0427239713888,0.0561877651339,0.0,451.0121824110986,450.78751203052127,449.3145768232399,448.3396327328666
0.9600000000000005,-0.0191119315939,0.0429673598913,11.0190067927,0.0406644701637,0.0314417677839,0.0,-0.095802276368,0.172181596235,1.86184208877,0.0494828148359,0.0742420975456,0.0,454.2931200777891,455.7410821566478,453.6631643220941,454.2066225279924
1.0200000000000005,-0.0253564833277,0.0539308701469,11.1284101739,0.0436015873466,0.0353360052076,0.0,-0.112682921557,0.193496475612,1.78503791903,0.0478689033099,0.0297294810936,0.0,382.4095840760452,378.1492625370075,381.0418412564598,380.8894509532747
1.0800000000000005,-0.0328562687481,0.0664530473281,11.2385290225,0.0461546442381,0.0373894779914,0.0,-0.137501667331,0.224180666449,1.88540588152,0.0289293252294,0.0419653333919,0.0,439.796761801944,440.8094667137473,441.5254869623573,439.9612317013987
1.1400000000000006,-0.0420493025033,0.0810587957961,11.3588467965,0.047733999346,0.0402820884245,0.0,-0.169252110926,0.262860013079,2.1247439625,0.0205206428918,0.058435683597,0.0,481.72019940566713,482.96514964904526,483.7137245725927,483.0802078331151
1.2000000000000006,-0.0530208002751,0.0977844569687,11.4885688364,0.0491949963895,0.043266535357,0.0,-0.196790144927,0.294785706724,2.19915713441,0.0310787516011,0.0201337156527,0.0,434.84958971437294,431.6307019571433,433.5523614152474,434.43859908707134
1.2600000000000007,-0.0657799597326,0.116552708264,11.6246915922,0.0512343703401,0.0440378382137,0.0,-0.228618048212,0.331017407682,2.33797077739,0.0392532154617,-0.00856644959976,0.0,455.6579959846146,453.35784316765586,453.5941152771241,454.2505207673737
